Modulation_Angle(rad) G_real_span dG_span G_null_real_cpf G_null_real Fit_full_real frac_rms d_frac_rms frac_rms_model frac_rms_null frac_rms_null_cpf G_im_span G_null_imag G_null_imag_cpf Fit_full_imag phase_lag d_phase_lag phase_lag_model phase_lag_null phase_lag_null_cpf
-1.492257e+00 1.443922e+00 5.502605e-02 1.533521e+00 1.522968e+00 1.512788e+00 1.111322e+00 4.234697e-02 1.159805e+00 1.165372e+00 1.165369e+00 2.012485e-02 0.000000e+00 0.000000e+00 -1.220524e-03 2.218099e-03 6.064606e-03 -1.284069e-04 0.000000e+00 0.000000e+00
-1.335177e+00 1.518454e+00 5.524845e-02 1.533521e+00 1.526650e+00 1.510573e+00 1.157479e+00 4.210298e-02 1.156382e+00 1.165372e+00 1.165369e+00 -3.551053e-02 0.000000e+00 0.000000e+00 2.454146e-05 -3.721315e-03 5.789217e-03 2.585704e-06 0.000000e+00 0.000000e+00
-1.178097e+00 1.573111e+00 5.520859e-02 1.533521e+00 1.531005e+00 1.510604e+00 1.204013e+00 4.225035e-02 1.153857e+00 1.165372e+00 1.165369e+00 2.341982e-02 0.000000e+00 0.000000e+00 1.267205e-03 2.369257e-03 5.584950e-03 1.335107e-04 0.000000e+00 0.000000e+00
-1.021018e+00 1.628452e+00 5.525937e-02 1.533521e+00 1.535606e+00 1.512879e+00 1.239891e+00 4.206515e-02 1.152475e+00 1.165372e+00 1.165369e+00 3.357736e-02 0.000000e+00 0.000000e+00 2.385826e-03 3.281181e-03 5.399566e-03 2.509887e-04 0.000000e+00 0.000000e+00
-8.639380e-01 1.476204e+00 5.533624e-02 1.533521e+00 1.540004e+00 1.517175e+00 1.123000e+00 4.205426e-02 1.152363e+00 1.165372e+00 1.165369e+00 6.596309e-02 0.000000e+00 0.000000e+00 3.270905e-03 7.106993e-03 5.960055e-03 3.431244e-04 0.000000e+00 0.000000e+00
-7.068583e-01 1.484528e+00 5.552459e-02 1.533521e+00 1.543768e+00 1.523072e+00 1.124509e+00 4.205148e-02 1.153520e+00 1.165372e+00 1.165369e+00 -2.828782e-02 0.000000e+00 0.000000e+00 3.835806e-03 -3.032346e-03 5.951663e-03 4.008256e-04 0.000000e+00 0.000000e+00
-5.497787e-01 1.551193e+00 5.546267e-02 1.533521e+00 1.546528e+00 1.529991e+00 1.172692e+00 4.192714e-02 1.155825e+00 1.165372e+00 1.165369e+00 -1.612354e-02 0.000000e+00 0.000000e+00 4.025231e-03 -1.654242e-03 5.690254e-03 4.187173e-04 0.000000e+00 0.000000e+00
-3.926991e-01 1.392921e+00 5.561675e-02 1.533521e+00 1.548016e+00 1.537257e+00 1.049321e+00 4.189733e-02 1.159045e+00 1.165372e+00 1.165369e+00 -2.994535e-03 0.000000e+00 0.000000e+00 3.820638e-03 -3.421545e-04 6.354745e-03 3.955567e-04 0.000000e+00 0.000000e+00
-2.356194e-01 1.496944e+00 5.573783e-02 1.533521e+00 1.548086e+00 1.544157e+00 1.125894e+00 4.192085e-02 1.162870e+00 1.165372e+00 1.165369e+00 -1.111218e-02 0.000000e+00 0.000000e+00 3.242055e-03 -1.181425e-03 5.925879e-03 3.341554e-04 0.000000e+00 0.000000e+00
-7.853982e-02 1.653338e+00 5.558052e-02 1.533521e+00 1.546730e+00 1.550016e+00 1.248059e+00 4.193968e-02 1.166931e+00 1.165372e+00 1.165369e+00 -4.642230e-02 0.000000e+00 0.000000e+00 2.346117e-03 -4.467567e-03 5.348228e-03 2.408980e-04 0.000000e+00 0.000000e+00
7.853982e-02 1.563680e+00 5.561303e-02 1.533521e+00 1.544081e+00 1.554261e+00 1.175545e+00 4.180868e-02 1.170842e+00 1.165372e+00 1.165369e+00 -4.138327e-03 0.000000e+00 0.000000e+00 1.220524e-03 -4.212075e-04 5.660404e-03 1.249806e-04 0.000000e+00 0.000000e+00
2.356194e-01 1.586203e+00 5.561550e-02 1.533521e+00 1.540399e+00 1.556477e+00 1.199261e+00 4.203316e-02 1.174231e+00 1.165372e+00 1.165369e+00 4.288385e-02 0.000000e+00 0.000000e+00 -2.454146e-05 4.301791e-03 5.578257e-03 -2.509446e-06 0.000000e+00 0.000000e+00
3.926991e-01 1.624369e+00 5.550438e-02 1.533521e+00 1.536044e+00 1.556445e+00 1.229194e+00 4.188350e-02 1.176770e+00 1.165372e+00 1.165369e+00 1.219339e-01 0.000000e+00 0.000000e+00 -1.267205e-03 1.192467e-02 5.423037e-03 -1.295785e-04 0.000000e+00 0.000000e+00
