# freq(Hz) power xerr yerr yfit comp1 comp2
3.125000000000000000e-02 1.220238222263785727e-01 1.562500000000000000e-02 1.865845623972857631e-03 1.179857303997273732e-01 1.029837897293229554e-01 1.500194067040441434e-02
6.250000000000000000e-02 1.202534486157004479e-01 1.562500000000000000e-02 1.998635469942459421e-03 1.209215490078464628e-01 1.058089785428403123e-01 1.511257046500615736e-02
9.375000000000000000e-02 1.166115635074828072e-01 1.562500000000000000e-02 1.834177830187340517e-03 1.199998883866184030e-01 1.047841207924250090e-01 1.521576759419338704e-02
1.406250000000000000e-01 1.082965933888301729e-01 1.562500000000000000e-02 1.328704978526631898e-03 1.120532788349012654e-01 9.669738805701082185e-02 1.535589077789044181e-02
1.875000000000000000e-01 1.045716181240442105e-01 1.562500000000000000e-02 1.939156379012181271e-03 9.929276455341769225e-02 8.381529257046409220e-02 1.547747198295360352e-02
2.343750000000000000e-01 9.095773953244687404e-02 1.562500000000000000e-02 1.181470366965237714e-03 8.545198628542503838e-02 6.987241935281381100e-02 1.557956693261122912e-02
2.812500000000000000e-01 6.692188197761250734e-02 1.562500000000000000e-02 1.683848524201418976e-03 7.285669097100626324e-02 5.719532585315087458e-02 1.566136511785539212e-02
3.281250000000000000e-01 6.358458980131115323e-02 1.562500000000000000e-02 1.216313228100292894e-03 6.234781791084577363e-02 4.662561242741924267e-02 1.572220548342653096e-02
4.062500000000000000e-01 4.725212928247218142e-02 1.562500000000000000e-02 9.219561203724292893e-04 4.931951311930550530e-02 3.354375587571446077e-02 1.577575724359104453e-02
4.843750000000000000e-01 3.952986326921087423e-02 1.562500000000000000e-02 1.108345828054982385e-03 4.053674627496449412e-02 2.476819531247375153e-02 1.576855096249073912e-02
5.625000000000000000e-01 3.331903998868753630e-02 1.562500000000000000e-02 8.680612566115464062e-04 3.452070683017812586e-02 1.881995416695980000e-02 1.570075266321832586e-02
6.406250000000000000e-01 3.033007651643986058e-02 1.562500000000000000e-02 1.035286006298322603e-03 3.025949315242721857e-02 1.468557987117657775e-02 1.557391328125064082e-02
7.343750000000000000e-01 2.647129705474004016e-02 1.562500000000000000e-02 7.211830310733111571e-04 2.659060204129126692e-02 1.124273744741132244e-02 1.534786459387994621e-02
8.437500000000000000e-01 2.489037920280844085e-02 1.562500000000000000e-02 8.639697005345718878e-04 2.351844919288097191e-02 8.526989390541136332e-03 1.499145980233983384e-02
9.531250000000000000e-01 2.296313407149375846e-02 1.562500000000000000e-02 7.185635804215840302e-04 2.121952633726257448e-02 6.670602314506121969e-03 1.454892402275645424e-02
1.078125000000000000e+00 1.907031633879872207e-02 1.562500000000000000e-02 7.244669690700359125e-04 1.915383179434019048e-02 5.195173439175431243e-03 1.395865835516475924e-02
1.218750000000000000e+00 1.721357440190405402e-02 1.562500000000000000e-02 6.174890382642029326e-04 1.726393816812343829e-02 4.046788874169293324e-03 1.321714929395414670e-02
1.375000000000000000e+00 1.443572240341787702e-02 1.562500000000000000e-02 6.123788015214104517e-04 1.550022457695368269e-02 3.163005586594484341e-03 1.233721899035919792e-02
1.531250000000000000e+00 1.427176500946258399e-02 1.562500000000000000e-02 6.245796455414006059e-04 1.397566402871978572e-02 2.538114839917755741e-03 1.143754918880202955e-02
1.703125000000000000e+00 1.262920031736613179e-02 1.562500000000000000e-02 5.832514211517254897e-04 1.250464862090543659e-02 2.041771188195130437e-03 1.046287743271030572e-02
1.906250000000000000e+00 1.072180712248587027e-02 1.562500000000000000e-02 5.369341386737469437e-04 1.099106282778184764e-02 1.621588502798984284e-03 9.369474324982862701e-03
2.125000000000000000e+00 1.041205521388597656e-02 1.562500000000000000e-02 4.918295197279925731e-04 9.591152648899587199e-03 1.298755062987739335e-03 8.292397585911848515e-03
2.375000000000000000e+00 8.175639597589635932e-03 1.562500000000000000e-02 9.881089864221522055e-04 8.240236232251325552e-03 1.034920333293272909e-03 7.205315898958053293e-03
2.640625000000000000e+00 6.587563789507025133e-03 1.562500000000000000e-02 5.111984605726334514e-04 7.050083439860670848e-03 8.336949486231699834e-04 6.216388491237500973e-03
2.921875000000000000e+00 5.499840512297283351e-03 1.562500000000000000e-02 5.321165649060779828e-04 6.016602584977217942e-03 6.783721749657326602e-04 5.338230410011485065e-03
3.250000000000000000e+00 5.029083977323379508e-03 1.562500000000000000e-02 4.391258784552211163e-04 5.046486517932878210e-03 5.462887408931517592e-04 4.500197777039726017e-03
3.609375000000000000e+00 4.061813938232394609e-03 1.562500000000000000e-02 4.482475166390916758e-04 4.209670299464417231e-03 4.414258403228028338e-04 3.768244459141614506e-03
4.000000000000000000e+00 2.903329927407484207e-03 1.562500000000000000e-02 4.166286864499936862e-04 3.501302469686127204e-03 3.583191404769220964e-04 3.142983329209205270e-03
4.437500000000000000e+00 2.679315285945014884e-03 1.562500000000000000e-02 3.910337290827252312e-04 2.890651869333678119e-03 2.903159641003688488e-04 2.600335905233309378e-03
4.906250000000000000e+00 2.636264910518896099e-03 1.562500000000000000e-02 3.779620674201679973e-04 2.391006561688914338e-03 2.368866454632198007e-04 2.154119916225694618e-03
5.421875000000000000e+00 1.922013947712555328e-03 1.562500000000000000e-02 3.455269104720897822e-04 1.972766022298640728e-03 1.935199937828771858e-04 1.779246028515763488e-03
6.000000000000000000e+00 1.519951477190559924e-03 1.562500000000000000e-02 3.356350019846140596e-04 1.618845507290514549e-03 1.576801295400138828e-04 1.461165377750500748e-03
6.625000000000000000e+00 1.236825783290451154e-03 1.562500000000000000e-02 3.194339922670052590e-04 1.331379997309150784e-03 1.290801969218353690e-04 1.202299800387315442e-03
7.312500000000000000e+00 1.252124912289504649e-03 1.562500000000000000e-02 3.008612404896899889e-04 1.093971350993536975e-03 1.057608258666134222e-04 9.882105251269234988e-04
8.078125000000000000e+00 1.184410115422403296e-03 1.562500000000000000e-02 2.868500030821671777e-04 8.962928569997788983e-04 8.652072017311895316e-05 8.097721368266599723e-04
8.921875000000000000e+00 1.055586993147004590e-03 1.562500000000000000e-02 2.755695432881303348e-04 7.339998626866267150e-04 7.082337030074820419e-05 6.631764923858785108e-04
9.843750000000000000e+00 5.941743936220810493e-04 1.562500000000000000e-02 2.556498017634761854e-04 6.019328725652018514e-04 5.810020948737489851e-05 5.438326630778269732e-04
1.085937500000000000e+01 1.105914385132244398e-03 1.562500000000000000e-02 2.487325441507873530e-04 4.935462226724638898e-04 4.768162549742867979e-05 4.458645971750352507e-04
1.196875000000000000e+01 4.891457427793355090e-04 1.562500000000000000e-02 2.368957407711668340e-04 4.053138169088276658e-04 3.920815151108091799e-05 3.661056653977467546e-04
1.320312500000000000e+01 7.060566110290093355e-04 1.562500000000000000e-02 2.228607133408223287e-04 3.322018235704468246e-04 3.218639206810320957e-05 3.000154315023436150e-04
1.456250000000000000e+01 4.712919442239471156e-04 1.562500000000000000e-02 2.145004418215389996e-04 2.723425754142589001e-04 2.643297095400093375e-05 2.459096044602579901e-04
1.604687500000000000e+01 1.272564324943501368e-04 1.562500000000000000e-02 2.025714569171410001e-04 2.236881327111755894e-04 2.175046854017730535e-05 2.019376641709982705e-04
1.767187500000000000e+01 2.420524732932817697e-04 1.562500000000000000e-02 1.946018840850186830e-04 1.839573666360099099e-04 1.792051869006479423e-05 1.660368479459451156e-04
1.946875000000000000e+01 2.375425731676965833e-04 1.562500000000000000e-02 1.829308393459829743e-04 1.511787804469174549e-04 1.475483419518006842e-05 1.364239462517373848e-04
2.145312500000000000e+01 4.945134373882324307e-04 1.562500000000000000e-02 1.764614366693765916e-04 1.241965162904939469e-04 1.214368659642943253e-05 1.120528296940645279e-04
2.362500000000000000e+01 1.444045978146556836e-04 1.562500000000000000e-02 1.668573318285660812e-04 1.021706265900723415e-04 1.000773442207092424e-05 9.216289216800141221e-05
2.601562500000000000e+01 -4.607418309843147646e-05 1.562500000000000000e-02 1.602812274758236787e-04 8.406861005445077180e-05 8.248618699903778503e-06 7.581999135454699668e-05
2.864062500000000000e+01 1.907104348158563301e-04 1.562500000000000000e-02 1.526020419171954636e-04 6.921944795972710836e-05 6.802620142854402453e-06 6.241682781687270167e-05
3.100000000000000000e+01 3.365320576497679171e-05 1.562500000000000000e-02 1.806833611857108204e-04 5.898793015668379565e-05 5.804437779086490320e-06 5.318349237759730788e-05
