# freq(Hz) power xerr yerr yfit comp1 comp2 comp3 comp4
3.125000000000000000e-02 2.681711111404985193e-01 1.562500000000000000e-02 4.008122014451516620e-03 2.674302845586750688e-01 2.568918914012685573e-01 3.563981414927970374e-03 2.480736273871033803e-03 4.493675468607508626e-03
6.250000000000000000e-02 2.635579753201390263e-01 1.562500000000000000e-02 4.005522613336351401e-03 2.666015357194835289e-01 2.553804367233223904e-01 4.055766139999434500e-03 2.637117824071449120e-03 4.528215032090257899e-03
9.375000000000000000e-02 2.388049452303778186e-01 1.562500000000000000e-02 3.710497885319381274e-03 2.344528854356059400e-01 2.224399544078188018e-01 4.643360510921553351e-03 2.807163231602855490e-03 4.562407285262737137e-03
1.406250000000000000e-01 1.674704845475212811e-01 1.562500000000000000e-02 2.348788467580963189e-03 1.694755552064454718e-01 1.560195296130219289e-01 5.752110723851198981e-03 3.090931570672925035e-03 4.612983298899422761e-03
1.875000000000000000e-01 1.233588478576752856e-01 1.562500000000000000e-02 3.197622375191865214e-03 1.197128319493339643e-01 1.044257733462156529e-01 7.210583545910514286e-03 3.413855923720709225e-03 4.662619133487084025e-03
2.343750000000000000e-01 8.693261846552068073e-02 1.562500000000000000e-02 2.019215344499598972e-03 8.904496880328771624e-02 7.145014355243245463e-02 9.101775049070835386e-03 3.781832976801656216e-03 4.711217224982769576e-03
2.812500000000000000e-01 7.541899381016041459e-02 1.562500000000000000e-02 2.759132135512763415e-03 7.124501231904072085e-02 5.084340696928175279e-02 1.144162518924729706e-02 4.201301522801385684e-03 4.758678637710283578e-03
3.281250000000000000e-01 6.135547750862319766e-02 1.562500000000000000e-02 1.830176585278883716e-03 6.111623933545139858e-02 3.760308738931592704e-02 1.402927762067973476e-02 4.678970880678722834e-03 4.804903444777011354e-03
4.062500000000000000e-01 5.024528080696383237e-02 1.562500000000000000e-02 1.643135245601777192e-03 5.202699771282798952e-02 2.443797367922863686e-02 1.708874295384100669e-02 5.621357361175425074e-03 4.878923718582924354e-03
4.843750000000000000e-01 4.696580179180813441e-02 1.562500000000000000e-02 1.636468209302176366e-03 4.451363747902307988e-02 1.702809609338603453e-02 1.577548266119541479e-02 6.761294199269514242e-03 4.948764525172114591e-03
